"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjWcrQfXPt6WofM1DdpFJ8NmAkxA2W6dYesHwmG-_HTu3Nk=w54-h54-p-rp-mo-ba4-br100","the mk","Local Guide · 40 reviews · 93 photos","","","7 months ago","Mumbai University has a strong academic reputation, offering a wide range of undergraduate, postgraduate, and doctoral programs across various disciplines, including arts, science, commerce, engineering, and management. It's renowned for …","More","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX-iD_K-Ep5ECPYchMmxfS-rx2QXMroAEsJ9QCrlDwJVd0=w54-h54-p-rp-mo-ba2-br100","The Divine Soul","Local Guide · 11 reviews · 49 photos","","","a week ago","Do not go to this university.. I gave my exams in Nov 2022... Today is march 2024..still no marksheet ..even after clearly all semesters without kts marksheets are not provided due to poor management...even the hall tickets are provided jus …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIZNknBGzgEIkP91r3l0ZNd6shO1Je0Nf7BnK_7k2N4=w54-h54-p-rp-mo-br100","Deycart Dsouza","4 reviews","","","2 months ago","I went to Mumbai University during the year 2005 for a full time B.sc IT course. I was selected by merit in Gokhale College Borivali but there were no faculties. …","More","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVB7hK2iSqxMubKBS75mtlTnz3AdBHQC7e7gOen9x-HnQ=w54-h54-p-rp-mo-ba6-br100","PradeepKumar","Local Guide · 108 reviews · 2,526 photos","","","2 years ago","One of the best university in Maharashtra, India. Established in 1857. Located in Fort, Mumbai. This University offers many no. Higher education degrees includes law, engineering, management, pharmacy, and many more. Easy to reach here by …","More","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUG-VKHTpqtRqYwWb2qGZo8X4ac68XQvcoUHBb5AiWiC8X3=w54-h54-p-rp-mo-ba6-br100","Vilas Patil","Local Guide · 335 reviews · 1,214 photos","","","5 months ago","Mumbai university is worldclass university. We have very nice experience of Mumbai university. Our relative completed his management masters from Jamnalal Bajaj institute of Management Study. This premier institute is part of Mumbai …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV17G6RcQ0SLUpyRHNkl9qD7XpVnWmCmIJfxrZbTp5jOAk=w54-h54-p-rp-mo-ba6-br100","Deepak Kapure","Local Guide · 292 reviews · 1,589 photos","","","10 months ago","The University of Mumbai is a public state university in Mumbai. It is one of the largest university systems in the world with over 549,000 students on its campuses and affiliated colleges. As of 2013, the university had 711 affiliated colleges. Ratan Tata is the appointed head of the advisory council.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWP-qOrlDjRvDcNKLEXORmv2hqLBvrG98bWlWo8UrKnTg=w54-h54-p-rp-mo-ba6-br100","Rushal Keny","Local Guide · 294 reviews · 7,552 photos","","","4 years ago","Temple of education. Best University in our country. Neat and clean campus. Well maintained the heritage property kept in good condition. Located near kala ghoda. Canteen is also available in the campus. One of the main education hub in the …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXrH7FWUOpDy9HDX-0Zx6dlloiQCysSeZ5E667VhMy2Tujx=w54-h54-p-rp-mo-ba3-br100","Manas rane","Local Guide · 17 reviews · 1 photo","","","4 months ago","Worst University helpline numbers are useless students need to visit University on office. How remote located students can get there. University don't know the meaning of revaluation they declare revaluation results after reexam. Staff is …","More","","Like","11","","Share","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
