"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a/ACg8ocKJxIeV2w1yLBjU9Ftkd00KKiywGnDMx6Vg0WUV_UgNHQ=w54-h54-p-rp-mo-ba4-br100","Rajveer","Local Guide · 50 reviews · 70 photos","","","a month ago","IIT Bombay's campus is a harmonious blend of academic excellence and scenic beauty. Nestled in Powai, Mumbai, the institute boasts state-of-the-art facilities and infrastructure. The academic buildings are equipped with cutting-edge …","More","0:03","+19","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9QFyg4yqEFCnGCF2_jQ0oZ1yWiNJ14DX6DHANUMetVR8=w54-h54-p-rp-mo-ba4-br100","Yuvraj Badgoti","Local Guide · 38 reviews · 106 photos","","","5 months ago","IIT Bombay stands as a beacon of excellence in education. The campus is a sprawling, vibrant hub of innovation and learning, equipped with state-of-the-art facilities. The faculty, comprised of experts in their fields, fosters a nurturing …","More","0:05","+3","","Like","12","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ6fRc4nIhBYnbMdp9MbGDEb6gCfCqONHZgv-iqmuxC=w54-h54-p-rp-mo-ba4-br100","Labhesh Bura","Local Guide · 21 reviews · 240 photos","","","4 months ago","IIT Bombay is a vibrant institute located in Powai, Mumbai. The campus is known for its impressive academic facilities and a lush green environment.The campus is spread wide long but an electric bus is available for the transportation. The …","More","","+28","","Like","24","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKDJwiHyeK12LsLv45DcuxgzLWMhX1J4JHgirQoogA1=w54-h54-p-rp-mo-ba6-br100","Purabi Dutta Chowdhury","Local Guide · 310 reviews · 1,827 photos","","","5 months ago","The campus of this premier educational institution is very beautiful with part of Powai lake inside it. The campus is equipped with all facilities like banks, shopping centers, food outlets. It offers courses on management, liberal studies besides technical ones.","","","+14","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU-r6OpjsQolyDSVV4qUwbKN3rgLmFxjYs4wKWM6Ap247I=w54-h54-p-rp-mo-ba3-br100","Mayur Salunkhe","Local Guide · 8 reviews · 87 photos","","","8 months ago","During my recent visit to IIT Bombay, I was pleasantly surprised by the greenery that graces the campus. The well-maintained green spaces provided a refreshing break from the city's hustle and bustle. …","More","","+4","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXr-zbKw-GgpBpQuZHyoKu2zhKKMW15faghuu2L0wtlKsGU=w54-h54-p-rp-mo-ba6-br100","Mayur Kulkarni","Local Guide · 161 reviews · 1,651 photos","","","a month ago","IIT Bombay is renowned for its rigorous academics, diverse research opportunities, vibrant campus life, and top-notch infrastructure. With world-class faculty and facilities, it fosters innovation and empowers students to excel both …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ0Pv7uLlvtGtxEWdVdFmVt2zt6dXvvAr70wTpSSV2pEQ=w54-h54-p-rp-mo-ba5-br100","Rekha Rajesh","Local Guide · 275 reviews · 833 photos","","","6 months ago","""I recently visited the Indian Institute of Technology Bombay (IIT Bombay) and was impressed by its beauty, history, and academic excellence. …","More","0:02","+9","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX-y13JYSrAC8PN-hlpQeUlnp3RaRoucQxeramF7ICArQ=w54-h54-p-rp-mo-ba5-br100","Farhaan Haque","Local Guide · 193 reviews · 201 photos","","","a year ago","Excellent campus. Lovely view of the powai lake from the hostel. Good food at affordable prices.  Lovely sunset. Awesome place for nature lovers. Clean air to breathe in the polluted city. Excellent overall facilities too. Anyone who comes …","More","0:17","+7","","Like","2","","Share","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
